"Reading ID","Default Input (vals)","Time (s)"
"129","136","127.926"
"130","245","128.926"
"131","194","129.927"
"132","361","130.929"
"133","358","131.93"
"134","360","132.929"
"135","357","133.93"
"136","257","134.928"
"137","63","135.926"
"138","26","136.926"
"139","356","137.932"
"140","358","138.933"
"141","356","139.934"
"142","340","140.935"
"143","338","141.935"
"144","302","142.936"
"145","192","143.937"
"146","0","144.939"
"147","0","145.939"
"148","0","146.94"
"149","187","147.938"
"150","238","148.938"
"151","0","149.943"
"152","21","150.943"
"153","0","151.943"
"154","0","152.944"
"155","362","153.949"
"156","34","154.947"
"157","101","155.947"
"158","239","156.949"
"159","361","157.951"
"160","361","158.95"
"161","39","159.948"
"162","20","160.958"
"163","350","161.956"
"164","228","162.95"
"165","357","163.954"
"166","321","164.957"
"167","136","165.958"
"168","35","166.959"
"169","283","167.958"
"170","0","168.96"
"171","0","169.961"
"172","0","170.961"
"173","0","171.962"
"174","354","172.959"
"175","340","173.959"
"176","0","174.963"
"177","0","175.964"
"178","0","176.965"
"179","0","177.967"
"180","0","178.967"
"181","39","179.97"
"182","0","180.969"
"183","54","181.971"
"184","0","182.971"
"185","0","183.972"
"186","0","184.969"
"187","0","185.969"
"188","0","186.968"
"189","231","187.975"
"190","359","188.978"
"191","361","189.977"
"192","358","190.978"
"193","360","191.978"
"194","357","192.98"
"195","358","193.98"
"196","357","194.981"
"197","356","195.982"
"198","252","196.985"
"199","359","197.98"
"200","361","198.979"
"201","76","199.987"
"202","314","200.985"
"203","56","201.987"
"204","99","202.987"
"205","77","203.987"
"206","13","204.988"
"207","0","205.991"
"208","0","206.989"
"209","0","207.991"
"210","0","208.992"
"211","0","209.994"
"212","0","210.991"
"213","0","211.992"
"214","181","212.997"
"215","211","213.998"
"216","344","214.999"
"217","359","216.001"
"218","358","217.002"
"219","358","218.002"
"220","256","219.006"
"221","355","220.005"
"222","249","221.006"
"223","300","222.006"
"224","357","223.003"
"225","302","224"
"226","360","225.001"
"227","175","226.007"
"228","0","227.009"
"229","0","228.011"
"230","0","229.011"
"231","0","230.012"
"232","0","231.013"
"233","0","232.015"
"234","57","233.011"
"235","0","234.016"
"236","70","235.017"
"237","159","236.018"
"238","0","237.013"
"239","362","238.02"
"240","0","239.028"
"241","355","240.024"
"242","354","241.025"
"243","355","242.024"
"244","9","243.028"
"245","70","244.028"
"246","240","245.026"
"247","94","246.028"
"248","0","247.032"
"249","355","248.025"
"250","356","249.023"
"251","42","250.035"
"252","0","251.03"
"253","0","252.032"
"254","0","253.034"
"255","356","254.039"
"256","218","255.037"
"257","255","256.044"
"258","358","257.04"
"259","360","258.039"
"260","362","259.038"
"261","355","260.042"
"262","119","261.036"
"263","0","262.05"
"264","362","263.055"
"265","357","264.057"
"266","357","265.058"
"267","302","266.06"
"268","353","267.059"
"269","362","268.055"
"270","0","269.066"
"271","0","270.064"
"272","0","271.064"
"273","0","272.063"
"274","0","273.064"
"275","0","274.063"
"276","235","275.077"
"277","357","276.075"
"278","0","277.1"
"279","189","278.094"
"280","357","279.09"
"281","361","280.088"
"282","357","281.089"
"283","73","282.095"
"284","0","283.096"
"285","0","284.096"
"286","105","285.102"
"287","356","286.107"
"288","0","287.1"
"289","302","288.104"
"290","0","289.098"
"291","360","290.105"
"292","357","291.108"
"293","26","292.112"
"294","355","293.107"
"295","355","294.108"
"296","356","295.109"
"297","125","296.111"
"298","116","297.111"
"299","110","298.112"
"300","47","299.113"
