"Reading ID","Default Input (vals)","Time (s)"
"1","0","0"
"2","0","0.999"
"3","0","1.998"
"4","0","2.994"
"5","0","3.997"
"6","0","4.995"
"7","64","5.991"
"8","356","6.988"
"9","358","7.985"
"10","333","8.983"
"11","30","9.98"
"12","0","10.975"
"13","354","11.97"
"14","318","12.965"
"15","75","13.962"
"16","0","14.959"
"17","0","15.957"
"18","145","16.953"
"19","355","17.951"
"20","356","18.949"
"21","359","19.946"
"22","108","20.943"
"23","0","21.939"
"24","0","22.937"
"25","106","23.935"
"26","358","24.928"
"27","360","25.927"
"28","304","26.925"
"29","131","27.923"
"30","58","28.922"
"31","0","29.921"
"32","0","30.918"
"33","0","31.915"
"34","93","32.914"
"35","356","33.91"
"36","358","34.907"
"37","0","35.902"
"38","28","36.896"
"39","308","37.893"
"40","356","38.891"
"41","358","39.888"
"42","314","40.886"
"43","0","41.881"
"44","0","42.878"
"45","233","43.875"
"46","354","44.873"
"47","357","45.871"
"48","349","46.868"
"49","0","47.863"
"50","163","48.857"
"51","0","49.863"
"52","25","50.863"
"53","130","51.864"
"54","361","52.866"
"55","357","53.868"
"56","357","54.868"
"57","356","55.868"
"58","294","56.87"
"59","244","57.87"
"60","178","58.871"
"61","355","59.868"
"62","356","60.867"
"63","357","61.866"
"64","0","62.872"
"65","0","63.872"
"66","0","64.873"
"67","0","65.875"
"68","0","66.876"
"69","0","67.875"
"70","35","68.876"
"71","360","69.878"
"72","360","70.879"
"73","360","71.879"
"74","360","72.879"
"75","257","73.877"
"76","356","74.88"
"77","355","75.881"
"78","356","76.881"
"79","232","77.883"
"80","305","78.883"
"81","76","79.884"
"82","145","80.892"
"83","0","81.886"
"84","0","82.886"
"85","0","83.888"
"86","0","84.886"
"87","358","85.895"
"88","0","86.887"
"89","34","87.89"
"90","161","88.891"
"91","314","89.892"
"92","361","90.893"
"93","360","91.893"
"94","359","92.893"
"95","107","93.894"
"96","354","94.895"
"97","355","95.896"
"98","360","96.909"
"99","0","97.905"
"100","176","98.898"
"101","0","99.9"
"102","0","100.902"
"103","0","101.903"
"104","0","102.903"
"105","0","103.905"
"106","81","104.906"
"107","174","105.907"
"108","266","106.908"
"109","304","107.908"
"110","358","108.91"
"111","0","109.906"
"112","321","110.908"
"113","356","111.912"
"114","356","112.913"
"115","355","113.913"
"116","351","114.914"
"117","8","115.917"
"118","19","116.917"
"119","121","117.916"
"120","0","118.918"
"121","0","119.921"
"122","0","120.92"
"123","0","121.936"
"124","354","122.931"
"125","356","123.929"
"126","0","124.923"
"127","0","125.922"
"128","22","126.924"
