"Reading ID","Default Input (vals)","Time (s)"
"1","148","0"
"2","0","0.998"
"3","0","1.996"
"4","0","2.994"
"5","0","3.995"
"6","40","4.992"
"7","275","5.991"
"8","356","6.988"
"9","355","7.988"
"10","359","8.986"
"11","263","9.984"
"12","0","10.981"
"13","332","11.984"
"14","250","12.983"
"15","78","13.982"
"16","0","14.981"
"17","0","15.98"
"18","0","16.978"
"19","35","17.975"
"20","340","18.973"
"21","356","19.97"
"22","361","20.968"
"23","116","21.965"
"24","0","22.963"
"25","0","23.961"
"26","0","24.961"
"27","0","25.958"
"28","81","26.955"
"29","308","27.957"
"30","268","28.959"
"31","274","29.956"
"32","237","30.956"
"33","333","31.954"
"34","242","32.952"
"35","195","33.952"
"36","237","34.95"
"37","287","35.948"
"38","128","36.946"
"39","338","37.948"
"40","297","38.946"
"41","219","39.944"
"42","127","40.943"
"43","37","41.94"
"44","28","42.938"
"45","20","43.936"
"46","39","44.934"
"47","136","45.932"
"48","209","46.929"
"49","181","47.925"
"50","8","48.921"
"51","2","49.919"
"52","0","50.917"
"53","105","51.914"
"54","202","52.911"
"55","204","53.907"
"56","68","54.904"
"57","3","55.902"
"58","1","56.9"
"59","0","57.899"
"60","0","58.898"
"61","0","59.896"
"62","201","60.892"
"63","102","61.886"
"64","2","62.883"
"65","0","63.881"
"66","0","64.879"
"67","12","65.878"
"68","137","66.875"
"69","200","67.873"
"70","205","68.871"
"71","177","69.868"
"72","31","70.866"
"73","0","71.863"
"74","183","72.857"
"75","110","73.85"
"76","2","74.847"
"77","0","75.846"
"78","7","76.842"
"79","199","77.838"
"80","204","78.835"
"81","183","79.833"
"82","4","80.83"
"83","0","81.828"
"84","0","82.826"
"85","17","83.824"
"86","199","84.82"
"87","108","85.814"
"88","22","86.806"
"89","117","87.805"
"90","201","88.802"
"91","202","89.799"
"92","2","90.794"
"93","0","91.791"
"94","21","92.789"
"95","136","93.787"
"96","199","94.785"
"97","204","95.783"
"98","122","96.78"
"99","0","97.776"
"100","197","98.77"
"101","106","99.763"
"102","1","100.761"
"103","89","101.763"
"104","0","102.76"
"105","1","103.757"
"106","158","104.754"
"107","203","105.751"
"108","194","106.748"
"109","80","107.746"
"110","1","108.743"
"111","0","109.741"
"112","4","110.739"
"113","205","111.733"
"114","0","112.726"
"115","6","113.723"
"116","5","114.723"
"117","94","115.721"
"118","203","116.717"
"119","208","117.716"
"120","32","118.712"
"121","0","119.707"
"122","13","120.706"
"123","200","121.702"
"124","205","122.7"
"125","41","123.695"
"126","0","124.692"
"127","0","125.69"
"128","157","126.687"
"129","203","127.684"
"130","204","128.681"
"131","132","129.679"
"132","31","130.678"
"133","52","131.678"
"134","0","132.675"
"135","0","133.672"
"136","197","134.669"
"137","180","135.663"
"138","3","136.66"
"139","1","137.659"
"140","0","138.656"
"141","0","139.655"
"142","101","140.652"
"143","197","141.651"
"144","201","142.649"
"145","209","143.647"
"146","122","144.644"
"147","2","145.641"
"148","0","146.639"
"149","199","147.633"
"150","40","148.626"
"151","0","149.62"
"152","80","150.618"
"153","201","151.615"
"154","204","152.613"
"155","206","153.612"
"156","201","154.614"
"157","203","155.611"
"158","50","156.608"
"159","1","157.606"
"160","0","158.603"
"161","0","159.602"
"162","105","160.599"
"163","186","161.592"
"164","0","162.587"
"165","0","163.584"
"166","199","164.58"
"167","200","165.579"
"168","204","166.578"
"169","195","167.575"
"170","43","168.573"
"171","100","169.573"
"172","2","170.571"
"173","0","171.568"
"174","65","172.689"
"175","93","173.698"
"176","204","174.693"
"177","182","175.69"
"178","3","176.687"
"179","0","177.685"
"180","0","178.683"
"181","44","179.681"
"182","199","180.678"
"183","207","181.674"
"184","76","182.672"
"185","2","183.67"
"186","2","184.67"
"187","0","185.667"
"188","193","186.662"
"189","152","187.656"
"190","49","188.654"
"191","0","189.652"
"192","0","190.648"
"193","81","191.646"
"194","203","192.642"
"195","206","193.641"
"196","144","194.638"
"197","131","195.638"
"198","1","196.635"
"199","0","197.633"
"200","0","198.633"
"201","199","199.627"
"202","110","200.621"
"203","1","201.618"
"204","0","202.615"
"205","45","203.613"
"206","200","204.609"
"207","69","205.603"
"208","0","206.601"
"209","0","207.599"
"210","33","208.596"
"211","200","209.593"
"212","207","210.59"
"213","0","211.583"
"214","197","212.577"
"215","129","213.578"
"216","201","214.576"
"217","206","215.573"
"218","184","216.571"
"219","57","217.569"
"220","1","218.567"
"221","0","219.565"
"222","88","220.561"
"223","208","221.559"
"224","213","222.557"
"225","0","223.549"
"226","0","224.546"
"227","0","225.547"
"228","0","226.547"
"229","0","227.549"
"230","1","228.549"
"231","23","229.544"
"232","195","230.542"
"233","101","231.541"
"234","67","232.538"
"235","0","233.533"
"236","228","234.539"
"237","354","235.541"
"238","93","236.535"
"239","0","237.529"
"240","284","238.526"
"241","356","239.523"
"242","360","240.521"
"243","358","241.522"
"244","357","242.522"
"245","0","243.516"
"246","0","244.514"
"247","355","245.524"
"248","354","246.524"
"249","356","247.526"
"250","52","248.534"
"251","0","249.529"
"252","354","250.525"
"253","0","251.53"
"254","0","252.53"
"255","0","253.532"
"256","0","254.533"
"257","0","255.528"
"258","315","256.525"
"259","99","257.534"
"260","112","258.534"
"261","184","259.535"
"262","0","260.532"
"263","179","261.526"
"264","360","262.52"
"265","358","263.538"
"266","356","264.539"
"267","356","265.539"
"268","306","266.541"
"269","359","267.537"
"270","359","268.537"
"271","303","269.541"
"272","167","270.543"
"273","0","271.545"
"274","356","272.54"
"275","211","273.535"
"276","0","274.53"
"277","0","275.544"
"278","0","276.545"
"279","0","277.547"
